"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.167,              ,  8460.027    ,  40915.54    ,  72876.00    ,  0.000000    ,  81336.03    ,  40915.54    ,  40420.49    ,  40420.49    , 0.2947975E-02, 0.2411400E-05,  122251.6    ,  40420.49    ,  122251.6    , 0.2947975E-02, 0.2411400E-05, 0.2411400E-05
         0.333,              ,  0.000000    ,  72693.61    ,  72876.00    ,  0.000000    ,  72876.00    ,  72693.61    ,  182.3981    ,  182.3906    ,-0.7496289E-02,-0.5149625E-05,  145569.6    ,  40602.88    ,  267821.2    ,-0.4548314E-02,-0.1698265E-05,-0.1698265E-05
         0.500,              ,  0.000000    ,  72874.59    ,  72875.99    ,  0.000000    ,  72875.99    ,  72874.59    ,  1.401905    ,  1.406250    , 0.4344940E-02, 0.2981079E-05,  145750.6    ,  40604.29    ,  413571.8    ,-0.2033736E-03,-0.4917492E-07,-0.4917492E-07
         0.667,              ,  0.000000    ,  72876.00    ,  72876.01    ,  0.000000    ,  72876.01    ,  72876.00    , 0.8396186E-02, 0.1171875E-01, 0.3322564E-02, 0.2279601E-05,  145752.0    ,  40604.30    ,  559323.8    , 0.3119190E-02, 0.5576717E-06, 0.5576717E-06
         0.833,              ,  0.000000    ,  72876.01    ,  72876.01    ,  0.000000    ,  72876.01    ,  72876.01    ,-0.8620322E-03,-0.3906250E-02,-0.3044218E-02,-0.2088628E-05,  145752.0    ,  40604.30    ,  705075.8    , 0.7497270E-04, 0.1063328E-07, 0.1063328E-07
         1.000,              ,  0.000000    ,  72875.99    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.99    ,-0.3860474E-02, 0.3906250E-02, 0.7766724E-02, 0.5328726E-05,  145752.0    ,  40604.30    ,  850827.8    , 0.7841696E-02, 0.9216549E-06, 0.9216549E-06
         1.167,              ,  0.000000    ,  72876.03    ,  72876.03    ,  0.000000    ,  72876.03    ,  72876.03    ,-0.2666384E-02,-0.7812500E-02,-0.5146116E-02,-0.3530733E-05,  145752.1    ,  40604.29    ,  996579.8    , 0.2695580E-02, 0.2704831E-06, 0.2704831E-06
         1.333,              ,  0.000000    ,  72875.99    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.99    ,-0.1659371E-02, 0.3906250E-02, 0.5565621E-02, 0.3818556E-05,  145752.0    ,  40604.30    ,  1142332.    , 0.8261201E-02, 0.7231876E-06, 0.7231876E-06
         1.500,              ,  0.000000    ,  72875.98    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.98    ,-0.1495361E-02, 0.3906250E-02, 0.5401611E-02, 0.3706030E-05,  145752.0    ,  40604.30    ,  1288084.    , 0.1366281E-01, 0.1060708E-05, 0.1060708E-05
         1.667,              ,  0.000000    ,  72876.04    ,  72876.04    ,  0.000000    ,  72876.04    ,  72876.04    ,-0.5263239E-03,-0.1562500E-01,-0.1509868E-01,-0.1035915E-04,  145752.1    ,  40604.29    ,  1433836.    ,-0.1435863E-02,-0.1001414E-06,-0.1001414E-06
         1.833,              ,  0.000000    ,  72876.10    ,  72875.98    ,  0.000000    ,  72875.98    ,  72876.10    ,-0.1154784    ,-0.1093750    , 0.6103363E-02, 0.4187496E-05,  145752.1    ,  40604.18    ,  1579588.    , 0.4667499E-02, 0.2954884E-06, 0.2954884E-06
         2.000,              ,  0.000000    ,  72875.86    ,  72875.98    ,  0.000000    ,  72875.98    ,  72875.86    , 0.1269150    , 0.1289062    , 0.1991272E-02, 0.1366207E-05,  145751.8    ,  40604.30    ,  1725340.    , 0.6658771E-02, 0.3859397E-06, 0.3859397E-06
